Id,PRP
0,43.906842
1,133.162263
2,24.218927
3,357.386460
4,42.364978
5,16.878681
6,60.331402
7,10.809191
8,41.253426
9,18.032090
10,60.039328
11,15.016692
12,269.668429
13,36.391635
14,120.801987
15,29.702491
16,26.799516
17,35.546826
18,23.500804
19,124.692956
20,72.474430
21,11.409864
22,49.421259
23,21.599554
24,139.953597
25,96.601004
26,69.427344
27,417.189185
28,10.162482
29,188.915941
30,106.999794
31,15.710646
32,52.761889
33,156.720615
34,40.685934
35,609.212331
36,13.141874
37,417.189185
38,38.173567
39,31.999616
40,106.999794
