Id,PRP
0,51.149025
1,134.107633
2,14.662408
3,546.397952
4,23.909595
5,35.617190
6,25.697742
7,15.688454
8,34.853998
9,35.930829
10,44.270292
11,27.470003
12,299.546092
13,37.705023
14,80.474007
15,38.126358
16,42.384102
17,19.309388
18,47.601348
19,121.104106
20,88.623860
21,29.215406
22,50.626128
23,27.156236
24,150.192634
25,62.467350
26,45.726102
27,470.954828
28,13.128066
29,95.411439
30,100.726935
31,33.489253
32,53.358885
33,184.480947
34,46.071169
35,632.974579
36,19.745401
37,470.954828
38,95.495070
39,46.450515
40,100.726935
