Id,PRP
0,34.292333
1,112.705405
2,27.322206
3,406.284333
4,65.210000
5,21.531238
6,67.390000
7,35.013333
8,50.165833
9,29.403000
10,35.933333
11,19.450833
12,269.952167
13,55.845000
14,103.066071
15,34.792667
16,25.619333
17,65.130000
18,28.520000
19,137.470500
20,85.545000
21,21.600000
22,52.622333
23,24.669063
24,136.729405
25,92.680000
26,76.154167
27,415.381667
28,24.950000
29,191.565000
30,118.621000
31,21.773905
32,53.006333
33,167.176667
34,39.611667
35,714.495000
36,26.040000
37,415.381667
38,44.982500
39,38.725000
40,118.621000
