Id,PRP
0,50.170000
1,191.365000
2,55.060000
3,382.453333
4,61.488286
5,49.400000
6,64.504000
7,36.504000
8,73.095000
9,49.460000
10,61.570000
11,51.140000
12,327.893333
13,52.070000
14,147.591667
15,60.100000
16,51.580000
17,59.234286
18,28.180000
19,139.553333
20,86.540000
21,28.400000
22,55.944619
23,54.920000
24,190.855000
25,149.400000
26,65.909333
27,499.500000
28,32.255000
29,220.333333
30,208.432952
31,29.728000
32,68.693333
33,223.280000
34,61.123333
35,787.136000
36,33.040000
37,499.500000
38,63.490000
39,61.794286
40,208.432952
