Id,PRP
0,32.268952
1,135.017134
2,21.901196
3,348.946294
4,57.029707
5,17.915931
6,69.351174
7,25.977366
8,36.589501
9,17.753188
10,34.915002
11,16.890895
12,263.418509
13,43.043879
14,127.712216
15,29.393568
16,30.809926
17,47.705843
18,23.094084
19,131.762629
20,81.988391
21,13.223740
22,56.045892
23,19.860100
24,148.796871
25,112.732779
26,73.729997
27,400.794929
28,13.700438
29,194.937826
30,126.973280
31,14.858353
32,55.549166
33,161.611638
34,40.111507
35,593.813685
36,19.342329
37,400.794929
38,47.296202
39,31.834782
40,126.973280
